
---------- Begin Simulation Statistics ----------
simSeconds                                   0.048949                       # Number of seconds simulated (Second)
system.cpu0.issuedInstType_0::FloatAdd        3156629      5.15%     53.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatCmp              0      0.00%     53.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatCvt              0      0.00%     53.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMult             0      0.00%     53.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMultAcc            0      0.00%     53.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatDiv              0      0.00%     53.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMisc             0      0.00%     53.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatSqrt             0      0.00%     53.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAdd               0      0.00%     53.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAddAcc            0      0.00%     53.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAlu         2109776      3.45%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdCmp               6      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdCvt              84      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMisc             95      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMult              0      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMultAcc            0      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMatMultAcc            0      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShift             0      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShiftAcc            0      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdDiv               0      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSqrt              0      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatAdd      1048645      1.71%     58.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatAlu            0      0.00%     58.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatCmp            0      0.00%     58.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatCvt            0      0.00%     58.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatDiv            0      0.00%     58.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMisc            0      0.00%     58.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMult      1048641      1.71%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMultAcc            0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMatMultAcc            0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatSqrt            0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceAdd            0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceAlu            0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceCmp            0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatReduceAdd            0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatReduceCmp            0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAes               0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAesMix            0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha1Hash            0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha1Hash2            0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha256Hash            0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha256Hash2            0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShaSigma2            0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShaSigma3            0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha3              0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSm4e              0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdCrc               0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdPredAlu            0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdDotProd            0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::Matrix                0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::MatrixMov             0      0.00%     59.96% # Number of instructions issued per FU type, per thread (Count)
