
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000710                       # Number of seconds simulated (Second)
system.cpu0.issuedInstType_0::SimdFloatAdd          369      0.03%     79.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatAlu            0      0.00%     79.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatCmp            0      0.00%     79.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatCvt          616      0.04%     79.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatDiv           13      0.00%     79.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMisc            0      0.00%     79.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMult          146      0.01%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMultAcc            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMatMultAcc            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatSqrt            4      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceAdd            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceAlu            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceCmp            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatReduceAdd            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatReduceCmp            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAes               0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAesMix            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha1Hash            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha1Hash2            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha256Hash            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha256Hash2            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShaSigma2            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShaSigma3            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha3              0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSm4e              0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdCrc               0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdPredAlu            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdDotProd            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::Matrix                0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::MatrixMov             0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::MatrixOP              0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::MemRead          185125     12.61%     92.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::MemWrite          93864      6.39%     98.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMemRead         5298      0.36%     99.10% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMemWrite        13161      0.90%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideMaskLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideMaskStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdStridedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdStridedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdIndexedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdIndexedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdWholeRegisterLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdWholeRegisterStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdExt               0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdConfig            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16Add            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16Cmp            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16Cvt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16DotProd            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16MatMultAcc            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16Mult            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16MultAcc            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::Bf16Cvt               0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::System                0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::total           1468276                       # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issueRate                        1.379184                       # Inst issue rate ((Count/Cycle))
system.cpu0.fuBusy                              24248                       # FU busy when requested (Count)
system.cpu0.fuBusyRate                       0.016515                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu0.intInstQueueReads                 3766489                       # Number of integer instruction queue reads (Count)
system.cpu0.intInstQueueWrites                1621638                       # Number of integer instruction queue writes (Count)
system.cpu0.intInstQueueWakeupAccesses        1387986                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu0.fpInstQueueReads                   121699                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites                   65075                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses           59429                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                    1419258                       # Number of integer alu accesses (Count)
